title,content,topic,source,existing_summary
News Article 46413,"Tata Motors anticipates a 3040 growth in electric vehicle EV sales in India in 2024, following the doubling of sales in 2023. The company plans to launch three new EV models in 2024 at various price points, ranging from 830 lakh. Despite an overall sub5 growth expected in the passenger vehicle market in 2024, Tata Motors aims to outpace the market with its new EV offerings. The company identifies underdeveloped charging infrastructure as a key obstacle to EV adoption and anticipates improvement with the rollout of higherrange vehicles and increased investment in charging infrastructure by charge point operators and oil marketing companies. Tata Motors is set to establish EVexclusive showrooms to support its EV brand identity.",Business and Finance,NewsSumm++,"Tata Motors expects a 3040 growth in electric vehicle EV sales in India in 2024, following a doubling of sales in 2023. The company plans to introduce three new EV models in 2024 across various price points, ranging from 830 lakh. Despite an overall anticipated sub5 growth in the passenger vehicle market in 2024, Tata Motors aims to surpass the market with its new EV offerings. The company acknowledges the underdeveloped charging infrastructure as a significant barrier to EV adoption, with expectations of improvement through the introduction of higherrange vehicles and increased investment in charging infrastructure by operators and oil marketing companies. Tata Motors is also establishing EVexclusive showrooms to enhance its EV brand identity."
News Article 153969,"The constituencies Amethi and Rae Bareli waited deep into the night on Thursday for the Congress to announce its candidates for the two seats but to no avail, amid indications that the Gandhi family was yet to finally decide on contesting with less than 24 hours to go before nominations close. Party leaders indicated that all preparations were done for the filing of nomination on Friday, the last day of submitting papers for the fifth phase of the general elections on May 20. We have already requested that both Rahul Gandhi and Priyanka Gandhi should contest the poll from the two seats. We are preparing, hoping that the party will field them, said Senior Congress leader KL Sharma, who was Sonia Gandhis Lok Sabha representative in the past. But even as day turned to night and speculation peaked, no announcement was forthcoming",Politics,NewsSumm++,"Amethi and Rae Bareli constituencies awaited Congresss candidate announcements for the upcoming general elections, with less than 24 hours left before nomination deadlines. Despite preparations for Rahul Gandhi and Priyanka Gandhi to potentially contest, there was no official confirmation as speculation continued into the night"
News Article 40875,"Congress tonight declared candidates for seven Lok Sabha seats, including three in Gujarat. Jayesh Patel has been fielded from Bharuch, Naishadh Desai from Surat and Maksud Mirza from Nawasari in Gujarat. Senior leader from Chhattisgarh Satyanarayan Sharma has been fielded from Raipur, Suresh Chandra Yadav from Bharatpur in Rajasthan and K Rani from Viluppuram in Tamil Nadu. Pritam Singh Lodhi replaces Jaywant Singh in Hamidpur, Uttar Pradesh. Besides, the party has also announced candidates for 7 bye assembly seats in Gujarat. Former CLP leader of the State Shakti Sinh Gohil has been fielded from Abdasa, Vipul Patek from Himatnagar, Harshad Riwardiya from Visabadar, Nishant Chotai from Somnath, Anand Chaudhary from Mandvi, Hanubha Dhoraji from Lathi and Babubhai Meghji Shah from Rapa. The Gujarat bye election for state Legislative Assembly will be held on April 30.",Politics,NewsSumm++,"The Congress has declared candidates for seven Lok Sabha seats, including three in Gujarat. Jayesh Patel has been fielded from Bharuch, Naishadh Desai from Surat and Maksud Mirza from Nawasari in Gujarat."
News Article 59417,"CBI vs CBI HIGHLIGHTS The party has called for a nationwide protest Friday outside CBI offices across the country, demanding an apology from Prime Minister Narendra Modi and reinstatement of CBI director Alok Verma. Follow latest newsCongress chief Rahul Gandhi Thursday attacked the Centre for the sudden removal of CBI director Alok Verma calling it a panic reaction as the agency was going to investigate the Rafale fighter jet deal. In a press conference in New Delhi, Gandhi said that the move was unconstitutional as the decision to appoint and remove CBI directors lies with a committee comprising the Chief Justice of India and Leader of the Opposition and the PM. Congress leader Mallikarjun Kharge too raised concerns over the unceremonious removal of the CBI chief, he wrote a letter to PM Modi calling the move a blatant, brazen and beleaguered use of investigative agencies by the Centre. The grand old party has called for a nationwide protest Friday outside CBI offices across the country, demanding an apology from Prime Minister Narendra Modi and reinstatement of CBI director Alok Verma, PTI said. Meanwhile, Union Minister Arun Jaitley squashed the Oppositions charges as rubbish and insisted that the interim measures were taken to ensure fairness and maintain institutional integrity Verma and CBI Special Director Rakesh Asthana were sent on leave by the government on Tuesday midnight. Alok Verma, who was looking into complaints in the Rafale fighter jet deal, Medical Council of India bribery case and the Sterling Biotech case among others, has challenged his removal in the Supreme Court. Calling the governments action an illegal interference, Verma said it not only erodes the independence of the institution but also the morale of its officers. The hearing will be held on Friday. On Thursday morning, four men suspected to be Intelligence Bureau officers were found snooping outside CBI chief Alok Vermas official residence. Vermas security officials caught the men and them handed over to Delhi Police. The IB sources, however, denied that their officers were outside Vermas residence.",Local News,NewsSumm++,"Congress Chief Rahul Gandhi criticized the sudden removal of CBI director Alok Verma, linking it to the agencys purported investigation into the Rafale fighter jet deal. Gandhi called the move unconstitutional, emphasizing that decisions about CBI directors should involve a committee comprising the Chief Justice of India, the Leader of the Opposition, and the Prime Minister. Congress leader Mallikarjun Kharge expressed concern over the removal and called it a blatant misuse of investigative agencies by the government. The Congress party called for a nationwide protest outside CBI offices, demanding an apology from Prime Minister Narendra Modi and the reinstatement of Alok Verma. Union Minister Arun Jaitley dismissed opposition charges, stating that interim measures were taken to ensure fairness and institutional integrity. Alok Verma, investigating cases like the Rafale deal and Medical Council of India bribery, challenged his removal in the Supreme Court, describing it as illegal interference. The hearing is scheduled for Friday. Additionally, four individuals suspected to be Intelligence Bureau officers were found outside Vermas residence, sparking controversy. The developments have heightened tensions between the government and opposition, with the CBIs internal turmoil becoming a focal point of political contention."
News Article 186342,"As many as 114 new Covid19 positive cases were detected in 19 districts on Sunday, pushing the total tally in the State to 3,35,072, the State Health and Family Welfare Department said.While 68 cases were reported from quarantine, the remaining 46 were local contacts. Sundargarh district recorded the days highest 21 cases followed by Bargarh with 11 and Khordha nine. Of the 19 districts, 17 districts reported below10 cases. Eleven other districts did not register any new positive case since Saturday.The Covid death toll remained at 1,906 as no new deaths have been reported for last six days. Currently, the State has 1,151 active cases and so far, over 77.09 lakh sample tests have been conducted. Meanwhile, another 141 patients recovered on the day, taking total recoveries to 3, 32,103 in State.",Health and Wellness,NewsSumm++,"The State Health and Family Welfare Department reported 114 new Covid19 positive cases in 19 districts, increasing the total to 3,35,072. The highest cases were in Sundargarh, followed by Bargarh and Khordha. 17 districts reported below10 cases, and eleven districts have not reported any new cases since Saturday. The Covid death toll remains at 1,906, with 1,151 active cases and over 77.09 lakh sample tests conducted."
News Article 19517,"Mumbai  Air pollution around 8am is at its worst in the city and the concentration of PM2.5 is the highest at this time. PM 2.5 are small pollutant particles that can easily enter the lungs and cause ailments. These were among the findings of a study by citybased air quality monitoring group UrbanSciences and Indian Institute of TechnologyKanpur IITK, with assistance from Delhibased Shakti Sustainable Energy Foundation. Analysing data for six months June to November 2019 from air quality monitors set up by the Central Pollution Control Board CPCB in five cities including Mumbai, the study found high levels of air pollution during early hours of the day. PM2.5 levels are around 30 higher at 8am 70 micrograms per cubic metre  µgm3 as against the lowest air quality hour at 2pm 50 µgm3. The daily safe standard is 60 µgm3. Also, weekdays in Mumbai are more polluted than weekends, due to reduced vehicular traffic on Saturdays and Sundays. The city has typical urban morning peaks in PM2.5 concentration levels from 7 to 9am and evening peaks from 7 to 11pm. The pattern suggests that traffic is a predominant source of pollution during these days. PM2.5 levels in the afternoon period between 2 and 4pm are observed to be the lowest. In June to September, monsoon is probably responsible for low PM levels, said the report. The study found high levels of air pollution during the winter period in Mumbai. Doctors said there had been a spike in reported cases of respiratory ailments at the end of 2019. In the last two weeks, due to the poor air quality and changing weather, upper respiratory tract infections had gone up with complaints of cough, sneezing, fever, chest tightness, breathlessness, running nose, and body pain. Also, whoever amongst them has gone for early morning walks suffered more as there are more dust particles in the air in the early morning, said Dr. Arvind Kate, chest physician, Zen Multispecialty Hospital.",Environment,NewsSumm++,"A study conducted by UrbanSciences and the Indian Institute of TechnologyKanpur found that air pollution in Mumbai is at its worst around 8 a.m., with the concentration of PM2.5 being the highest at that time. PM2.5 are small pollutant particles that can enter the lungs and cause health issues. The study analyzed data from air quality monitors in five cities, including Mumbai, over six months June to November 2019 and found that PM2.5 levels at 8 a.m. are around 30 higher than the lowest air quality hour at 2 p.m."
News Article 155716,"The Punjab vigilance bureau, on Wednesday, caught redhanded the general manager GM of the Moga depot of the Punjab Roadways Sukhdeep Singh while accepting Rs 15,000 as bribe from a private transporter. Surinder Kumar, deputy superintendent of police DSP, said that Khuskaran Singh, a transporter of Bathinda, had complained to the police that he has four buses, which are operated by the Punjab Roadways under the Punbus km scheme. I wanted to ensure more kilometers for my buses according to government norms, but the GM demanded Rs 20,000 for this. I paid Rs 5,000 on August 19 as the first instalment, but the he wanted the entire money before giving permission for more kilo meters, said Khuskaran Singh in his complaint. The DSP said, While the general manager was accepting Rs 15,000 as the second installment of the bribe on Wednesday evening from Khuskaran Singh, the vigilance team raided the Punjab Roadways office and caught Sukhdeep Singh in the presence of other officials.",Crime and Justice,NewsSumm++,"The Punjab Vigilance Bureau caught the general manager of the Moga depot of Punjab Roadways, Sukhdeep Singh, redhanded while accepting a bribe of Rs 15,000 from a private transporter. The transporter had complained that Singh demanded Rs 20,000 for permitting additional kilometers for his buses. Singh was apprehended during the second installment payment of the bribe."
News Article 301798,"Buying property in Delhi is likely to get costlier with the Municipal Corporation of Delhi MCD planning to increase transfer duty on the purchase of properties valued over 25 lakh by 1. A senior MCD official said after the proposal is implemented, the transfer duty on the sale and purchase of properties will increase from 2 to 3 in the case of women buyers and from 3 to 4 for male buyers.",Local News,NewsSumm++,"Buying property in Delhi is likely to get costlier with the Municipal Corporation of Delhi MCD planning to increase transfer duty on the purchase of properties valued over 25 lakh by 1. A senior MCD official said after the proposal is implemented, the transfer duty on the sale and purchase of properties will increase from 2 to 3 in the case of women buyers and from 3 to 4 for male buyers."
News Article 281690,"The Cabinet on Wednesday cleared a Bill to allow voluntary use of Aadhaar as identity proof for opening bank accounts and procuring mobile phone connections. The Bill  which will be in form of amendment to Aadhaar Act 2016 and other laws and will replace an ordinance issued in March, 2019  also proposes stiff penalties for violation of norms. The Aadhaar and Other Laws Amendment Bill, 2019 will be introduced in the ensuing session of Parliament, beginning June 17. For the convenience of general public in opening of bank accounts, the proposed amendments would allow the use of Aadhaar number for authentication on voluntary basis as acceptable KYC Know Your Customer document under the Telegraph Act, 1885 and the Prevention of Money Laundering Act, 2002, an official release said. Put simply, this means it will allow voluntary use of Aadhaar number for authentication and identity proof in opening of bank accounts and procuring of mobile phone connections. The Bill seeks to giving a child an option to exit from the biometric ID programme on attaining 18 years of age, while stipulating stiff penalties for violation of norms set for the use of Aadhaar and violation of privacy. The decision would enable UIDAI Unique Identification Authority of India to have a more robust mechanism to serve the public interest and restrain the misuse of AadhaarSubsequent to this amendment, no individual shall be compelled to provide proof of possession of Aadhaar number or undergo authentication for the purpose of establishing his identity unless it is so provided by a law made by Parliament, the release said. The move is aimed at making Aadhaar people friendly, it added. The amendments proposed are the same as those contained in the Ordinance promulgated by President on March 2, 2019. The changes provide for voluntary use of Aadhaar number in physical or electronic form by authentication or offline verification with the consent of Aadhaar number holder. It will also pave the way for use of alternative virtual identity number to conceal the actual Aadhaar number of an individual. It seeks to permit entities to perform authentication only when they are compliant with the standards of privacy and security specified by the UIDAI and the authentication is permitted under any law made by Parliament or prescribed to be in the interest of state by the central government. It proposes deletion of section 57 of the Aadhaar Act relating to use of the biometric identifier by private entities. The amendment will also prevent denial of services for refusing to, or being unable to, undergo authentication. Besides this, the proposed amendments provide for establishment of Unique Identification Authority of India Fund, and confers enhanced regulatorlike power on the UIDAI to give directions as it may consider necessary to any entity in the Aadhaar ecosystem. The changes proposed include a civil penalty of up to Rs 1 crore on entities that violate the provisions of the Aadhaar Act, with an additional fine of up to Rs 10 lakh per day in case of continuous non compliance. Unauthorised use of identity information by a requesting entity or offline verification seeking entity would be punishable with imprisonment of up to three years with a fine that may extend to Rs 10,000 or in case of a company with a fine of up to Rs 1 lakh. Punishment for unauthorised access to the Central Identities Data Repository as well as data tampering is proposed to be extended to 10 years each from the current three years.",National News,NewsSumm++,"The Union Cabinet has approved a Bill to amend the Aadhaar Act, 2016 and related laws, aiming to make Aadhaar usage voluntary and more citizenfriendly. The Aadhaar and Other Laws Amendment Bill, 2019 replaces an ordinance issued in March and will be introduced in the Parliament session starting June 17. The Bill allows voluntary use of Aadhaar for identity verification when opening bank accounts or obtaining mobile phone connections, but ensures individuals cannot be compelled to use it unless mandated by law. It provides citizens, especially children turning 18, an option to opt out of the Aadhaar system. The Bill also introduces stiff penalties up to 1 crore for violating the Aadhaar Act, with additional daily fines for continued violations. Unauthorised data access or misuse can result in imprisonment of up to 10 years and heavy fines. The Bill mandates that only UIDAIcompliant entities may perform Aadhaar authentication, and supports the use of virtual IDs to protect users real Aadhaar numbers. It also establishes the UIDAI Fund and gives the UIDAI enhanced regulatory powers to ensure privacy and security standards. The amendment aims to ensure the responsible use of Aadhaar without compromising individual rights or access to services."
News Article 78517,"Petrol prices were hiked by 75 paise and diesel by 50 paise per litre due to an increase in global crude oil prices and a fall in the rupee value. The hikes, effective midnight tonight, are excluding local sales tax or VAT and the actual increase will be higher and vary from city to city. Petrol prices, which were last hiked by 41 paise excluding VAT on December 21 as the government raised commissioned paid to petrol pump dealers, will cost Rs 72.43 a litre in Delhi from midnight, up 91 paise from Rs 71.52 currently. Diesel prices in Delhi will be hiked by 56 paise, including tax, to Rs 54.34 per litre, while it will cost Rs 61.42 a litre in Mumbai as against Rs 60.80 currently. The diesel price increase is in line with the government January 2013 decision to raise rates by up to 50 paise per month till the time the entire losses on the fuel are wiped out, and the prices made market determined. Announcing the price hike, Indian Oil Corp, the nations largest fuel retailer, said even after the 12th price hike since last January, the oil companies were incurring Rs 9.24 per litre loss on the fuel sale. Officials said the price revision was due on January 1, but it was put off due to the New Year considerations. Since last January, diesel rates have risen by a cumulative Rs 7.19 this year.",Economic,NewsSumm++,"Petrol prices in India were hiked by 75 paise per litre, while diesel prices were increased by 50 paise per litre due to a rise in global crude oil prices and a fall in the rupee value. The actual increase will be higher and vary from city to city. This move is in line with the governments decision in 2013 to raise diesel prices by up to 50 paise per month until the entire losses on the fuel are wiped out and the prices are made marketdetermined."
News Article 240827,"Nagaland International Trade Expo 2024 organised by the Business Association of Nagas BAN is scheduled to be held from January 18 to 22 at Senden Riju, Purana Bazar, near ISBT, Dimapur. The expo will be inaugurated by Narayan Rane, Union Minister for Ministry of Micro, Small  Medium Enterprises MSME, Government of India. The expo is organised in collaboration with the National SCST Hub, National Small Industries Corporation, Ministry of Micro, Small  Medium Enterprises, Government of India and Government of Nagaland. The expo aims to provide local entrepreneurs with a platform to highlight and promote products and services of Naga entrepreneurs. The expo will also have national and international exhibitors, BAN stated in an official update. Some of the key features of NETex 2024 would include Products and Services Display Experience the vibrant display of a wide array of products and services from diverse industries. From cuttingedge technologies to traditional crafts, theres something for everyone Automobile Showcase Top automobile brands, including Mahindra, MG, Toyota, Skoda, Audi, Nexa, and Isuzu, will present their latest models. Car enthusiasts, get ready for an upclose look at the future of driving Food Court Indulge your taste buds in a culinary journey at our Food Court, featuring a selection of local cuisines. Discover the rich flavors Nagaland has to offer Government Departments Interact with representatives from various government departments. Learn about initiatives, policies, and opportunities for collaboration Live Skills Display Witness the mastery of chainsaw woodcarving, live painting, FRP artwork, and Loinloom weaving. Experience the skill and artistry of our talented craftsmen. The expo will also feature Evening Entertainment with live performances by local musicians, adding a rhythmic beat to the evenings. During the panel discussions, the visitors and participants can engage in thoughtprovoking panel discussions on relevant topics. Experts, industry leaders, and policymakers will share insights on crucial aspects of economic importance like sustainable tourism, Startups and entrepreneurship and boosting logistics. Further, the expo will have Product Launches where visitors can witness product launches, unveiling innovations that could shape the future.",Business and Finance,NewsSumm++,"The Nagaland International Trade Expo NETex 2024, organized by the Business Association of Nagas BAN, will be held from January 1822 at Senden Riju, Dimapur. Union Minister Narayan Rane will inaugurate the event, which is organized in collaboration with several government agencies, including the National SCST Hub and the Ministry of MSME. The expo will showcase local and international products and services, including an automobile display featuring top brands like Mahindra, MG, and Audi. Key attractions include a food court highlighting Nagalands cuisine, live demonstrations of crafts, panel discussions on topics like startups and sustainable tourism, and evening entertainment with live music. There will also be product launches and opportunities to interact with government departments."
News Article 79219,"The death of ISIS leader Abu Bakr alBaghdadi serves as a symbolic full stop to the many civil wars that have engulfed Syria in the last eight years, although Baghdadi was not personally in charge of anything by the time he died. The outcome of all those wars was already becoming clear and it is the Russians and Bashar alAssad who have won. US President Donald Trumps abrupt withdrawal of American troops from eastern Syria makes the Russian victory clear Within days, there were Russian soldiers taking selfies in the abandoned American bases on the Syrian side of the frontier with Turkey. Trumps elaborate thanks to the Russian, Syrian and Turkish Governments for their aid in the Baghdadi operation was a genuflection before the powers that now really count in the region, but the Russian response was as disdainful as ever. We are unaware of any alleged Russian assistance during this operation, said MajorGeneral Igor Konashenkov. The Russian contempt for Trump is understandable but showing it so publicly is selfindulgent and quite untypical. They clearly have some hold over the man but why flaunt it Perhaps their victory is going to their heads, because they can never have expected to win so decisively. But that is a question for another day. What have the Russians won Four years after they began providing air support to a Syrian regime that was teetering on the brink of defeat, Bashar alAssads brutal rule once again extends over almost all of Syria. They never had to commit Russian ground troops to combat and yet they are now the dominant outside power in the entire Fertile Crescent. Assad didnt do too badly either. First he cleared the rebels out of all the big cities, then he regained control of all Arabicspeaking rural areas except the northwestern province of Idlib and now his troops are reoccupying most of the Kurdishspeaking east without a fight. He never had to fight Baghdadis Islamic State IS either. It was a Syrian Kurdish militia with US air support that destroyed the part of IS that was located in Syria. And when Donald Trump pulled US troops out of Syria on October 6, betraying the Kurds, Russian diplomacy finessed that into another win for Assad. The Syrian Kurds were immediately attacked by Turkey, which intended to ethnically cleanse the Kurdish population from northeastern Syria and replace them with Arabicspeaking refugees from other parts of Syria. It was almost certainly Russian emissaries who persuaded the Kurds to give up their dream of independence and invite the Syrian Army back in to protect them from the Turks. When the Syrian Army went back in last week it was accompanied by enough Russian soldiers to deter the Turks from shooting at it, so Syrian troops now control most of the border and ethnic cleansing is presumably off the menu. Turkish troops still hold some bits of Syrian territory that they grabbed last week but Ankara has publicly stated that it will not try to keep them indefinitely. It was really the Russians who rescued the Kurds, so you can guess where their loyalty lies now. And remarkably, the Turks are coming around as well. Turkish strongman Recep Tayyip Erdogan backed the jihadi rebels throughout the Syrian civil war and still protects them in their last stronghold in Idlib. He even kept the border with Syria open so that foreign jihadis could cross to join IS. But he is a pragmatist who understands the new realities and within months he will reopen diplomatic relations with Assads regime in Syria. That will mean that Turkey can no longer provide military protection to the jihadi groups in Idlib most of whom now acknowledge the leadership of Osama binLadens old organisation, alQaeda. Thereupon the final operation to reconquer Idlib can begin, although it may be done quite slowly and methodically to keep the Syrian Armys casualties down. The Russians have accomplished everything they set out to do in the region in 2015 and the main risk they face now is overconfidence. They saved Assad and he owes them a lot but he also owes Iran, which provided and paid for the foreign Shia volunteers who provided vitallyneeded military manpower when the Syrian Army was running out. They have drawn Turkey away from its old reflexive loyalty to NATO but it is still a member of the alliance and Erdogans political position in Turkey is weakening. Vladimir Putins visit to Saudi Arabia two weeks ago went well, because Saudi crown prince Mohammad bin Salman has been seeking friends elsewhere after Trump did nothing in response to the recent drone attacks on Saudi Arabias oilfields. But MbS position at home is hardly secure either. The truth is that Russia has won the prize, but the reward is a can of worms.",International News,NewsSumm++,"ISIS Islamic State is designated as a terrorist organization by numerous countries and international bodies, including the United States, the United Nations, the European Union, and others."
News Article 229719,"The Election Commission on Thursday issued a notification for the Assembly election in Haryana and the third and final phase of voting in Jammu and Kashmir. The last date for filing nominations in Haryana is September 12. The scrutiny of nomination papers will take place the next day. The last date for withdrawal of candidature is September 16. Polling will be held on October 5. In Jammu and Kashmir, where 40 seats will go to the polls in the third phase on October 1, the last date for filing nominations is September 12. The scrutiny of nomination papers will take place on September 13. The last date for withdrawing nominations is September 17. The first two phases of election in Jammu and Kashmir will be held on September 18 and 25. The counting of votes in Jammu and Kashmir and Haryana is scheduled to take place on October 8.",Politics,NewsSumm++,"The Election Commission has issued notifications for the Haryana Assembly election and the third phase of voting in Jammu and Kashmir. In Haryana, nominations can be filed until September 12, with polling scheduled for October 5. In Jammu and Kashmir, the third phase will cover 40 seats with voting on October 1. The first two phases are on September 18 and 25, and the counting for both regions is on October 8."
News Article 100639,"VARANASI In view of the rapid surge in the cases of Covid19, the district administration has imposed restrictions on public movements and commercial activities. The district magistrate Kaushal Raj Sharma, on Thursday, ordered certain restrictions including night curfew for a week under the Epidemic Act and National Disaster Management Act to put a check on the spread of Covid19.According to the order, the night curfew restricting the movement of common public and commercial activities, would be effective from 9pm to 6am. The order will be effective till April 15. However, the essential services are exempted from the restrictions. The milk supply in the morning, vegetable market and medicine shops have been exempted from the restriction. The night shift employees, goods carriers, railbustair passengers, medical and paramedical staff are also exempted from the night restriction. All the nongovernment and private educational institutions and coaching institute will remain closed during this period. The relaxation will be granted only for conducting examinations. All the government officials and employees have been directed not to leave the headquarters. Except family and religious functions, all other gatherings of political, economic or social nature have been restricted. For the canvassing for panchayat elections, only five persons would be allowed to assemble at a place. No park will be open before 6 am, and no public gathering would be allowed at the ghats during Ganga aarti.Explore Your Financial Landscape with Personalized Credit Insights.",National News,NewsSumm++,"Varanasi has implemented a weeklong night curfew from 9 pm to 6 am to curb COVID19. Essential services, such as milk supply, vegetable markets, and medical facilities, are exempt. Educational institutions and coaching centers are closed, except for exams. Nonessential gatherings are banned, and only five people are allowed for election canvassing. Government officials are restricted from leaving headquarters. Parks and public gatherings at Ghats during Aarti are suspended. The measures are in effect until April 15."
News Article 76851,"As the nation entered day 18 of the 21day nationwide lockdown, the Shahenshah of the Indian film industry, Amitabh Bachchan, got nostalgic and shared an old photograph with his 41.2 million Twitter followers. The thespian called the picture, nostalgia of past years. The picture showed Bollywood stars from the yesteryears getting clicked during a charity cricket match which was played at the Eden Gardens, Kolkata. The snap is dated back to the 70s when Indian film industry actors locked horns with Bengali film industry actors for the charity match. Big B also shared a twoline quote in Hindi of how he thought of remembering some past memories during the tough times. The 77yearold actor also asked his followers if they could name some of the stars who can be seen with him in the photograph. Netizens took senior Bachchans challenge in their stride and successfully identified the stars in the snap. This Twitterati shared an old photograph from the same cricket match which shows Bachchan hitting a shot in the jampacked stadium. This, however, is not the first time that the veteran actor has shared the picture from the charity match. Back in 2012, Big B had shared another snap for the match on Facebook where he talked about how their team had emerged victorious under Dilip Kumars captaincy. Recently, the renowned actor had starred in a short film, Family, along with actors Alia Bhatt, Diljit Dosanjh, Ranbir Kapoor, Priyanka Chopra, Rajinikanth among others to spread awareness about the Covid19 pandemic. The actor has also started distribution of 2,000 food packets daily in parts of Mumbai. In Memoriam Ritu Nanda, the daughter of Bollywood showman Raj Kapoor, passed away in the early hours of Tuesday. The 71yearold, who was married to the late Escorts patriarch Rajan Nanda, had been battling cancer. Bollywoods Kapoors and Bachchans flew down to Delhi to join the Nandas for her last rites that were held in the city.",Entertainment,NewsSumm++,"Amitabh Bachchan, the iconic Bollywood actor, shared a nostalgic photograph from a charity cricket match in the 1970s, featuring stars from the Indian and Bengali film industries. The 77yearold actor asked his Twitter followers to identify the stars in the picture. This isnt the first time Bachchan has shared a photo from the match, as he previously did so in 2012, reminiscing about their teams victory under Dilip Kumars captaincy. Bachchan has been actively engaging with fans during the COVID19 lockdown and recently starred in a short film, Family, to raise awareness."
News Article 252853,"Roche has won emergency approval from the U.S. Food and Drug Administration FDA for an antibody test to determine whether people have ever been infected with the coronavirus, the Swiss drugmaker on Sunday. Thomas Schinecker, Roches head of diagnostics, said the company aims to more than double production of tests from about 50 million a month to significantly more than 100 million a month by the end of the year. Governments, businesses and individuals are seeking such blood tests to learn who may have had the disease, who may have some immunity and to potentially craft strategies to help end national lockdowns. Baselbased Roche, which also makes molecular tests to identify active COVID19 infections, said its antibody test has a specificity rate exceeding 99.8 and sensitivity of 100, meaning tests would show very few false positives and no false negatives. A falsepositive result could lead to the mistaken conclusion that someone has immunity. Roche said its test relies on intravenous blood draws, with higher accuracy than fingerprick tests. If you take blood from a finger prick, you will never be able to achieve the same level of specificity that you will achieve ... when you take blood from the vein, Schinecker said. You have to have very, very high specificity. Even 0.1 or 0.2 makes a difference. RIVALS TESTS Similar antibody tests have also been developed by companies including U.S.based Abbott Laboratories, Becton Dickinson and Italys DiaSorin. Abbott has said the specificity and sensitivity of its test are 99.5 and 100 respectively. Diasorin has said its Liason XL test has 97.4 sensitivity and 98.5 specificity. As demand escalates for antibody tests, an array of distributors with no background or established testing competency have also joined the experienced companies in an allbutunregulated marketplace in the United States, according to a Reuters investigation. Roche did not disclose a price for its test but said that it would be identical worldwide. Schinecker foresees a high need for testing healthcare workers and their families for exposure, and those who showed signs and symptoms, to see if they have antibodies. While antibodies typically confer some immunity, Schinecker acknowledged that much remains to be learned about the novel coronavirus before drawing definitive conclusions. Since this virus is not well known, one can hypothesise, but the proof will take longer, he said. Testing these people ... is key to seeing whether or not people really have developed immunity.",Science and Technology,NewsSumm++,"Roche received emergency FDA approval for its antibody test to detect past COVID19 infections. The test boasts a 100 sensitivity and 99.8 specificity, offering highly accurate results compared to fingerprick tests. Roche plans to increase production from 50 million to over 100 million tests per month by yearend. While antibody tests are crucial for identifying immunity and determining exposure, Roches head of diagnostics, Thomas Schinecker, acknowledged that much remains unknown about the virus and immunity. Other companies, like Abbott Laboratories, also developed similar tests with comparable accuracy."
News Article 25989,"NEW DELHI The Supreme Court has scrapped the gend cap imposed by Maharashtra authorities which limit the number of male and female performers in orchestra bars to four each, saying practices or rules rooted in historical prejudices, gender stereotypes and paternalism have no place in society. As per the conditions imposed by the Mumbai police on restaurants and bars, only eight artistes or singers are permitted on the stage with equal number of female and male performers. There are over 250 establishments which have taken licence for holding orchestral shows. Holding the condition as illegal and void, a bench of Justices KM Joseph and S Ravindra Baht said the order on gendercap i.e. four females and four males, in any performance appears to be the product of a stereotypical view that women who perform in bars and establishments belong to a certain class of society which should be dispelled. As authorities of this court have repeatedly emphasised, Whenever challenges arise, particularly based on gender, its the task of judges to scrutinise closely, whether, if and the extent to which the impugned practices or rules or norms are rooted in historical prejudice, gender stereotypes and paternalism. Such attitudes have no place in our society recent developments have highlighted areas hitherto considered exclusive male bastions like employment in the armed forces, are no longer so. Similarly, in the present case, this court holds that the gender cap imposed by the impugned condition is void, said Justice Bhat. The state government tried to justify the condition on the ground that it was done to ensure safety of female artistes. It contended that women are exploited in bars and restaurants and are forced to do obscene dance moves and also engage in sexual activities with customers. The condition of having only four women has been made for the safety of women employees artistes and in the interest of public, the state contended. The bench wasnt convinced and said the state should provide a conducive atmosphere to women artistes so that they can perform freely as per their wish without being afraid of safety. The bar owners had submitted that there was no rationality in imposing the condition as the composition of performers was entirely on how the band wanted to organise its business. They said a strict numerical division of equal gender participation in the orchestra band, serves no rational basis as an item or piece can involve all male performers, or all females, or few males and majority female, or vice versa. The SC said cap on the overall number of performers can go on but not the cap on gender composition. It set aside the order of Bombay HC which had approved condition imposed by police.",National News,NewsSumm++,"The Supreme Court of India has ruled against the gender cap imposed by Maharashtra authorities on orchestra bars, which limited the number of male and female performers to four each. The conditions set by the Mumbai police restricted the number of artistes or singers on stage to eight, with an equal split between male and female performers. The court declared the gender cap as illegal and void, emphasizing that practices rooted in historical prejudices, gender stereotypes, and paternalism have no place in society. The decision aims to challenge stereotypes and promote gender equality in the context of performers in bars and establishments."
